chart_week|title|performer|peak_pos|wks_on_chart
1971-04-17|Joy To The World|Three Dog Night|1|6
1971-05-29|Brown Sugar|The Rolling Stones|1|5
1971-06-12|Want Ads|The Honey Cone|1|10
1971-06-19|It's Too Late/I Feel The Earth Move|Carole King|1|7
1971-07-24|Indian Reservation (The Lament Of The Cherokee Reservation Indian)|The Raiders|1|16
1971-07-31|You've Got A Friend|James Taylor|1|9
1971-08-07|How Can You Mend A Broken Heart|Bee Gees|1|7
1971-09-04|Uncle Albert/Admiral Halsey|Paul & Linda McCartney|1|4
1971-09-11|Go Away Little Girl|Donny Osmond|1|6
1971-10-02|Maggie May/Reason To Believe|Rod Stewart|1|12
1971-11-06|Gypsys, Tramps & Thieves|Cher|1|8
1971-11-20|Theme From Shaft|Isaac Hayes|1|6
1971-12-04|Family Affair|Sly & The Family Stone|1|5
1971-12-25|Brand New Key|Melanie|1|9
1972-01-15|American Pie (Parts I & II)|Don McLean|1|8
1972-02-12|Let's Stay Together|Al Green|1|11
1972-02-19|Without You|Nilsson|1|10
1972-03-18|Heart Of Gold|Neil Young|1|7
1972-03-25|A Horse With No Name|America|1|6
1972-04-15|The First Time Ever I Saw Your Face|Roberta Flack|1|7
1972-05-27|Oh Girl|The Chi-lites|1|8
1972-06-03|I'll Take You There|The Staple Singers|1|9
1972-06-10|The Candy Man|Sammy Davis, Jr. with The Mike Curb Congregation|1|14
1972-07-01|Song Sung Blue|Neil Diamond|1|9
1972-07-08|Lean On Me|Bill Withers|1|12
1972-07-29|Alone Again (Naturally)|Gilbert O'Sullivan|1|7
1972-08-26|Brandy (You're A Fine Girl)|Looking Glass|1|11
1972-09-16|Black & White|Three Dog Night|1|6
1972-09-23|Baby Don't Get Hooked On Me|Mac Davis|1|13
1972-10-14|Ben|Michael Jackson|1|11
1972-10-21|My Ding-A-Ling|Chuck Berry|1|12
1972-11-04|I Can See Clearly Now|Johnny Nash|1|9
1972-12-02|Papa Was A Rollin' Stone|The Temptations|1|8
1972-12-09|I Am Woman|Helen Reddy|1|16
1972-12-16|Me And Mrs. Jones|Billy Paul|1|7
1973-01-06|You're So Vain|Carly Simon|1|6
1973-01-27|Superstition|Stevie Wonder|1|11
1973-02-03|Crocodile Rock|Elton John|1|9
1973-02-24|Killing Me Softly With His Song|Roberta Flack|1|5
1973-03-24|Love Train|The O'Jays|1|10
1973-04-07|The Night The Lights Went Out In Georgia|Vicki Lawrence|1|9
1973-04-21|Tie A Yellow Ribbon Round The Ole Oak Tree|Dawn Featuring Tony Orlando|1|10
1973-05-19|You Are The Sunshine Of My Life|Stevie Wonder|1|10
1973-05-26|Frankenstein|Edgar Winter Group|1|12
1973-06-02|My Love|Paul McCartney And Wings|1|8
1973-06-30|Give Me Love - (Give Me Peace On Earth)|George Harrison|1|7
1973-07-07|Will It Go Round In Circles|Billy Preston|1|15
1973-07-21|Bad, Bad Leroy Brown|Jim Croce|1|14
1973-08-04|The Morning After|Maureen McGovern|1|7
1973-08-18|Touch Me In The Morning|Diana Ross|1|12
1973-08-25|Brother Louie|Stories|1|10
1973-09-08|Let's Get It On|Marvin Gaye|1|9
1973-09-15|Delta Dawn|Helen Reddy|1|13
1973-09-29|We're An American Band|Grand Funk|1|10
1973-10-06|Half-Breed|Cher|1|10
1973-10-20|Angie|The Rolling Stones|1|7
1973-10-27|Midnight Train To Georgia|Gladys Knight And The Pips|1|9
1973-11-10|Keep On Truckin' (Part 1)|Eddie Kendricks|1|12
1973-11-24|Photograph|Ringo Starr|1|8
